date,trend
2021-06-01,71
2021-06-02,69
2021-06-03,72
2021-06-04,76
2021-06-05,66
2021-06-06,70
2021-06-07,70
2021-06-08,97
2021-06-09,85
2021-06-10,77
2021-06-11,63
2021-06-12,56
2021-06-13,59
2021-06-14,74
2021-06-15,61
2021-06-16,57
2021-06-17,50
2021-06-18,51
2021-06-19,47
2021-06-20,54
2021-06-21,78
2021-06-22,100
2021-06-23,70
2021-06-24,63
2021-06-25,63
2021-06-26,57
2021-06-27,53
2021-06-28,56
2021-06-29,55
2021-06-30,49
2021-07-01,48
2021-07-02,46
2021-07-03,41
2021-07-04,46
2021-07-05,45
2021-07-06,42
2021-07-07,40
2021-07-08,44
2021-07-09,42
2021-07-10,37
2021-07-11,36
2021-07-12,42
2021-07-13,42
2021-07-14,40
2021-07-15,41
2021-07-16,42
2021-07-17,39
2021-07-18,38
2021-07-19,47
2021-07-20,57
2021-07-21,55
2021-07-22,49
2021-07-23,43
2021-07-24,42
2021-07-25,43
2021-07-26,82
2021-07-27,58
2021-07-28,53
2021-07-29,47
2021-07-30,45
2021-07-31,47
